department,quarter,no_of_workers,defects_day,Total_Produced
Gloves,Quarter3,14.7,7.0,133.0
Gloves,Quarter4,13.4,0.3,106.3
Sweatshirt,Quarter3,87.6,5.7,420.9
T-Shirt,Quarter3,25.4,2.1,173.6
Sweatshirt,Quarter4,82.6,7.5,488.1
T-Shirt,Quarter1,67.6,3.2,531.2
Sweatshirt,Quarter2,37.4,1.3,148.3
T-Shirt,Quarter3,28.7,6.9,194.0
Sweatshirt,Quarter4,11.7,2.9,64.4
T-Shirt,Quarter3,66.0,6.3,443.1
Gloves,Quarter1,89.9,3.2,895.8
Sweatshirt,Quarter4,41.4,1.6,162.4
T-Shirt,Quarter4,45.6,6.6,306.0
Gloves,Quarter1,35.4,4.6,274.0
Sweatshirt,Quarter4,66.4,9.7,445.4
T-Shirt,Quarter1,45.8,7.3,260.2
Sweatshirt,Quarter4,70.8,5.3,267.3
Gloves,Quarter1,87.3,8.9,689.5
T-Shirt,Quarter4,15.8,0.8,141.4
Sweatshirt,Quarter4,60.5,1.7,418.4
Gloves,Quarter3,66.2,3.8,658.2
Gloves,Quarter4,89.5,7.0,791.5
Sweatshirt,Quarter1,54.7,2.7,265.4
Sweatshirt,Quarter3,99.3,7.5,580.8
Sweatshirt,Quarter2,19.0,9.1,57.8
Sweatshirt,Quarter1,16.2,2.4,76.2
T-Shirt,Quarter2,83.5,3.3,574.6
T-Shirt,Quarter4,87.6,4.9,778.6
Sweatshirt,Quarter4,27.9,8.0,179.3
Sweatshirt,Quarter2,79.0,3.2,467.6
Gloves,Quarter3,25.6,1.8,279.8
T-Shirt,Quarter3,63.6,8.6,364.4
Sweatshirt,Quarter3,66.2,7.5,323.5
T-Shirt,Quarter3,95.1,7.9,745.0
Gloves,Quarter4,60.8,1.7,663.7
T-Shirt,Quarter2,60.8,7.5,403.1
Gloves,Quarter4,98.9,7.4,1065.7
T-Shirt,Quarter4,47.7,1.0,283.2
Sweatshirt,Quarter3,79.1,9.5,446.1
Gloves,Quarter4,80.6,1.6,885.0
Sweatshirt,Quarter4,21.7,4.5,99.5
T-Shirt,Quarter1,76.1,3.3,450.0
Gloves,Quarter4,17.2,2.1,185.0
Sweatshirt,Quarter4,74.5,2.4,365.3
Sweatshirt,Quarter1,38.8,0.3,154.9
Gloves,Quarter3,75.1,6.5,738.0
Sweatshirt,Quarter1,55.0,2.7,382.3
Sweatshirt,Quarter1,44.7,9.5,303.4
Gloves,Quarter3,27.6,2.3,301.3
Sweatshirt,Quarter4,94.0,7.3,636.1
Sweatshirt,Quarter4,83.5,2.9,414.6
Gloves,Quarter4,23.6,0.6,235.4
Gloves,Quarter2,36.1,3.3,278.9
Sweatshirt,Quarter4,95.6,6.9,559.8
Sweatshirt,Quarter2,91.9,2.3,549.1
Gloves,Quarter1,33.8,0.3,371.5
T-Shirt,Quarter4,91.6,7.9,525.9
Sweatshirt,Quarter3,83.4,8.0,484.4
Sweatshirt,Quarter4,89.9,5.8,611.9
Sweatshirt,Quarter3,61.6,8.1,291.8
Sweatshirt,Quarter2,79.5,1.1,475.9
Sweatshirt,Quarter1,74.2,2.9,516.5
T-Shirt,Quarter4,27.9,7.3,243.8
Sweatshirt,Quarter4,58.5,1.5,348.0
Gloves,Quarter1,29.2,8.2,209.0
T-Shirt,Quarter4,77.4,0.3,540.9
Gloves,Quarter3,63.3,7.7,688.6
Sweatshirt,Quarter1,29.3,5.2,189.5
Gloves,Quarter4,10.7,6.4,111.3
Gloves,Quarter3,50.8,0.6,506.2
T-Shirt,Quarter4,82.5,1.3,576.2
T-Shirt,Quarter3,54.3,4.0,480.7
Sweatshirt,Quarter1,97.5,9.8,380.2
Sweatshirt,Quarter3,44.9,6.2,161.0
Sweatshirt,Quarter4,98.6,1.8,586.2
T-Shirt,Quarter3,61.4,7.3,415.2
Sweatshirt,Quarter2,57.9,6.0,213.6
T-Shirt,Quarter4,73.2,0.8,656.4
Sweatshirt,Quarter2,34.0,8.1,161.9
Sweatshirt,Quarter3,27.3,1.5,159.3
Sweatshirt,Quarter1,36.6,3.0,174.0
T-Shirt,Quarter2,36.2,2.3,287.3
Gloves,Quarter1,13.3,4.9,105.0
T-Shirt,Quarter1,14.3,3.3,79.2
T-Shirt,Quarter2,44.7,9.0,294.9
Gloves,Quarter3,66.3,7.6,706.5
Sweatshirt,Quarter3,77.1,2.8,377.1
Sweatshirt,Quarter1,72.3,1.1,358.2
T-Shirt,Quarter1,90.9,9.0,791.1
Gloves,Quarter2,90.4,1.4,810.8
Sweatshirt,Quarter4,55.1,1.9,328.7
Gloves,Quarter3,95.0,0.2,949.6
Sweatshirt,Quarter4,56.0,0.7,389.9
T-Shirt,Quarter4,72.3,3.5,647.2
Gloves,Quarter1,53.5,8.8,410.4
T-Shirt,Quarter2,11.3,7.3,79.8
T-Shirt,Quarter2,50.1,0.2,300.0
Sweatshirt,Quarter1,59.9,4.4,286.3
Gloves,Quarter1,60.5,5.0,534.5
Sweatshirt,Quarter1,44.5,9.9,192.8
Sweatshirt,Quarter4,48.1,5.0,225.5
T-Shirt,Quarter2,27.4,2.7,161.7
Sweatshirt,Quarter3,15.3,4.0,53.2
Gloves,Quarter2,81.2,3.8,800.6
Sweatshirt,Quarter1,10.3,9.4,31.8
T-Shirt,Quarter3,74.8,9.0,421.8
T-Shirt,Quarter4,24.8,3.4,219.8
Sweatshirt,Quarter3,16.2,3.7,102.3
Gloves,Quarter2,22.4,0.2,246.0
Sweatshirt,Quarter2,80.3,0.7,479.7
Gloves,Quarter3,63.1,5.2,615.4
Sweatshirt,Quarter3,69.3,8.3,252.3
Gloves,Quarter1,78.4,8.4,680.4
Sweatshirt,Quarter3,66.3,7.7,382.4
Sweatshirt,Quarter2,77.2,8.4,446.4
Sweatshirt,Quarter2,45.3,4.3,213.6
T-Shirt,Quarter3,65.0,4.5,506.5
Gloves,Quarter1,98.0,4.0,874.0
T-Shirt,Quarter1,55.1,6.0,373.7
T-Shirt,Quarter4,26.7,9.4,168.1
T-Shirt,Quarter4,77.3,9.5,444.8
Sweatshirt,Quarter3,28.1,7.7,189.0
Sweatshirt,Quarter4,57.2,3.2,222.4
Sweatshirt,Quarter3,22.9,3.4,111.1
T-Shirt,Quarter2,87.1,4.9,507.9
Gloves,Quarter3,20.4,3.9,175.8
T-Shirt,Quarter4,14.2,5.9,67.5
